,,,Len,zh-CN,en,zh-TW,ja,ko
,1,商店图,20,《弓箭传说》团队最新力作！,‘Archero’ Team’s Newest Hit!,《弓箭傳說》團隊最新力作！,『アーチャー伝説』チームの最新ヒット！,‘궁수의 전설' 개발팀의 신규 히트작!
,2,商店图,20,首创Roguelite弹珠RPG,Innovative Roguelite RPG Block Breaker!,首創Roguelite彈珠RPG,ローグライト、RPG、ブロック崩しを組み合わせた革新的なゲーム！,최초 로그라이트 벽돌깨기 RPG!
,3,商店图,15,单指操作，轻松发射！,One finger control; shoot shoot shoot!,單指操作，輕鬆發射！,指1本でコントロール：撃って撃って撃ちまくれ！,한 손 조작! 쉽게 쏴라!
,4,商店图,15,超100种全新技能,More than 100 new skills!,超100種全新技能,100種以上の新しいスキル！,100가지 넘는 신규 스킬!
,5,商店图,15,超多Boss，怪物，章节,"Plenty of Bosses, Monsters & Chapters!",超多Boss，怪物，章節,たくさんのボス、モンスター、チャプター！,"수많은 보스, 몬스터와 챕터!"
,6,首图按钮,10,预约好礼,Pre-Order Rewards,預約好禮,プレオーダー報酬,사전예약 보상
,7,首图标题,10,游戏特色,Special Features,遊戲特色,特別な機能,핀볼도사의 특징
,8,首页浮窗,10,奖励查询,Check Rewards,獎勵查詢,報酬をチェック,보상 확인하기
,9,验证页面,15,完成邮箱验证赢双份好礼！,Verify your email to get the rewards!,完成郵箱驗證贏雙份好禮！,メールを確認して報酬をゲットしよう！,이메일 인증을 완료하여 보상을 두배로 받으세요!
,10,验证页面,15,已预约人数：,Pre-Ordered Players:,已預約人數：,事前に確保したプレイヤー：,사전예약 플레이어:
,11,验证页面,10,请输入您的邮箱,Please enter your Email,請輸入您的郵箱,メールアドレスを入力してください,이메일 주소를 입력하세요
,12,验证页面,10,获取验证码,Send Verification Code,獲取驗證碼,確認コードを送信,인증 코드 받기
,13,验证页面,10,请输入您的验证码,Enter the Code,請輸入您的驗證碼,確認コードを入力してください,인증 코드를 입력하세요
,14,验证页面,10,领取奖励,Claim Rewards,領取獎勵,報酬を受け取る,보상 획득
,15,验证邮箱失败,10,验证码错误,Code error,驗證碼錯誤,コードエラー,인증 코드 오류
,16,验证页面,20,我同意使用个人邮箱接收游戏信息,I accept to receive updates of the game,我同意使用個人郵箱接收遊戲信息,ゲームのアップデートを受け取ることに同意します,이메일로 게임 정보 수신에 동의합니다.
,17,领取成功界面,10,恭喜你<br/>预约成功,Congrats on your<br/>Pre-Order!,恭喜你<br/>預約成功,"<span style=""font-size:3.5rem"">正常に先行注文<br/>が行われました！</span>",사전예약을<br/>축하합니다!
,19,领取成功界面,5,兑换码,Redeem Code,兌換碼,コードを交換,코드 사용
,20,领取成功界面,5,复制,Copy,複製,コピー,복사
,21,领取成功界面,5,即刻兑换,Redeem,即刻兌換,交換,사용
,22,领取成功界面,40,即刻点击下方按钮预约，公测当日即可使用礼包码，请妥善保存。,"Tap the button below to Pre-Order! The code will be active once the game goes online, so keep your code safe!",即刻點擊下方按鈕預約，公測當日即可使用禮包碼，請妥善保存。,下のボタンをタップして先行注文しよう！ゲームがオンラインになるとコードが有効になります。コードを安全に保管しておいてください！,지금 바로 아래 버튼을 눌러 예약하세요! 기프트코드는 게임이 출시되면 사용할 수 있으니 꼭 저장해두세요!
,23,FB按钮,,粉丝页,Fan Page,粉絲頁,ファンページ,팬 페이지
,24,错误提示,,请同意勾选,Please Check the Box to Continue,請同意勾選,同意してください,동의해주세요
,25,首页底部文案,,,"※本遊戲依遊戲軟體分級管理辦法分類為：「 普遍級 」<br/>
適度消費<br/>
※請注意使用時間，避免沉迷於遊戲<br/>
※本遊戲為免費遊戲，但遊戲內另提供購買虛擬遊戲幣、物品等付費服務，請依個人興趣及能力進行<br/>
關於訂閱<br/>
※ 消費者為限制行為能力人者，本契約訂定時，應經消費者之法定代理人同意，本契約始生效力；消費者為無行為能力人者，本契約之訂定，應由消費者之法定代理人代為之，並應於消費者之法定代理人閱讀、瞭解並同意本契約之所有內容後，方得使用本遊戲服務，本契約條款變更時亦同",,,
,26,邮件标题,,【砰砰法师】请查收您的验证码,[PunBall]Please Check Your Verfication Code,【砰砰法師】請查收您的驗證碼,【ポンボール】確認コードを確認してください,【핀볼도사】인증 코드를 확인하세요
,27,邮件正文,,【砰砰法师】请查收您的验证码：,[PunBall]Please Check Your Verfication Code:,【砰砰法師】請查收您的驗證碼：,【ポンボール】確認コードを確認してください：,【핀볼도사】인증 코드를 확인하세요：
,28,邮件格式错误提示,,邮件格式错误,Wrong Email Format,郵件格式錯誤,間違ったメールフォーマット,잘못된 이메일 형식
,29,奖励已领取,,奖励已领取,Reward has been Collected,獎勵已領取,報酬が集められました,보상이 수집되었습니다
